Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
vacuna contra la fiebre Q,B2,,Vacunas,Vacunas inactivadas,
quetiapina,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,
quinagolida,B3,,Sistema endocrino,Inhibidores de la hipófisis,
quinapril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA)
quinetazona,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
quinidina,do,"Este fármaco es estructuralmente similar a la quinina, que, en dosis altas, ha demostrado causar daño fetal. Se ha utilizado para tratar la arritmia cardíaca fetal.",Sistema cardiovascular,Antiarrítmicos,
quinina,D,"En dosis estándar, la quinina no se ha asociado con daño fetal. En dosis tóxicas, causa daño fetal, incluyendo sordera. Su capacidad para inducir contracciones uterinas también constituye un riesgo de aborto.",Sistema musculoesquelético,relajantes musculares,
quinina (tratamiento),D,"En dosis tóxicas, la quinina causa daño fetal, incluida la sordera. Su capacidad para inducir contracciones uterinas también constituye un riesgo de aborto.",Antimicrobianos,Antipalúdicos,
rabeprazol,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
 vacuna contra la rabia (inactivada),B2,,Vacunas,Vacunas inactivadas,
dicloruro de radio (223Ra),incógnita,La teratogenicidad es un efecto de clase de los agentes radiactivos que induce múltiples anomalías fetales. Es probable que los fármacos radiactivos causen defectos congénitos importantes si se utilizan durante el embarazo.,Agentes antineoplásicos,,
raloxifeno,incógnita,Este medicamento provoca anomalías en el sistema reproductivo en desarrollo cuando se administra a conejas preñadas y puede tener un efecto similar en el embarazo humano.,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
 raltegravir (400 mg dos veces al día),A,,Antimicrobianos,agentes antivirales,
raltegravir (excepto 400 mg dos veces al día),B3,,Antimicrobianos,agentes antivirales,
raltitrexed,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
ramipril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA)
ramucirumab (rmc),D,"Se sabe que los anticuerpos IgG atraviesan la barrera placentaria, y este fármaco puede inhibir la angiogénesis fetal. Se ha demostrado que la angiogénesis es crucial para el desarrollo fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
ranibizumab,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. El ranibizumab inhibe la angiogénesis y puede causar daño fetal cuando se administra a mujeres embarazadas.,Medicamentos oftálmicos,,
ranitidina,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
rasagilina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
rasburicasa,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,
ravulizumab,B2,,Sangre y sistema hematopoyético,,
reboxetina,B1,,Sistema nervioso central,antidepresivos,
Vacuna de proteína F prefusión del virus respiratorio sincitial recombinante - adyuvada con AS01,B2,,Vacunas,,
 Vacuna recombinante de proteína F prefusión del virus respiratorio sincitial - vacuna sin adyuvante,A,,Vacunas,,
regdanvimab,B2,,Antimicrobianos,agentes antivirales,anticuerpos monoclonales antivirales
regorafenib,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres embarazadas.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
toxina relabotulinum A,B3,,Sistema musculoesquelético,relajantes musculares,
remdesivir,B2,,Antimicrobianos,agentes antivirales,
remifentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
repaglinida,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
reteplasa,do,,Sistema cardiovascular,agentes fibrinolíticos,
retigabina,B3,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
ribociclib,D,"Los agentes antineoplásicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
rifabutina,do,"Se han reportado hemorragias atribuibles a hipoprotrombinemia en recién nacidos y madres tras el uso de rifampicina al final del embarazo. Si se utiliza rifabutina durante las últimas semanas del embarazo, se debe administrar vitamina K a la madre y al recién nacido.",Antimicrobianos,Antituberculosos y antilepróticos,
rifampicina,do,"Se han reportado hemorragias atribuibles a hipoprotrombinemia en recién nacidos y madres tras el uso de rifampicina al final del embarazo. Si se utiliza rifampicina durante las últimas semanas del embarazo, se debe administrar vitamina K a la madre y al recién nacido.",Antimicrobianos,Antituberculosos y antilepróticos,
rifaximina,B1,,Antimicrobianos,Antibióticos,
rilpivirina,B1,,Antimicrobianos,agentes antivirales,
riluzol,B3,,Sistema nervioso central,,
 rimegepante,B1,,Sistema nervioso central,,
rimiterol,A,,Sistema cardiovascular,estimulantes adrenérgicos,
rimiterol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
riociguat,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antihipertensivos,
ripretinib,D,"Según su mecanismo de acción y los hallazgos en estudios con animales, ripretinib puede causar malformaciones fetales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
risankizumab,B1,,Alergia y sistema inmunológico,,
risdiplam,D,"La administración a animales preñados provocó una disminución del peso corporal fetal, un aumento de la incidencia de variaciones estructurales fetales, mortalidad embriofetal, malformaciones fetales (hidrocefalia) y variaciones estructurales. El nivel sin efectos adversos en el desarrollo embriofetal se asoció con una exposición materna tres veces superior a la dosis máxima recomendada en humanos. En un estudio prenatal y posnatal en ratas tratadas diariamente con risdiplam, este provocó un ligero retraso en la duración de la gestación.",Sistema musculoesquelético,,
risedronato,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,Bifosfonatos
risperidona,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,
ritonavir,B3,,Antimicrobianos,agentes antivirales,
rituximab,do,Se sabe que los anticuerpos de esta clase atraviesan la barrera fetoplacentaria y pueden causar agotamiento de células B y/u otros efectos desconocidos.,Alergia y sistema inmunológico,Inmunomodificadores,
rivaroxabán,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
rivastigmina,B2,,Agentes colinérgicos y anticolinérgicos,,
rizatriptán,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,
rocuronio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,
rofecoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
 romidepsina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
romiplostim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
romosozumab,B3,,Sistema musculoesquelético,Agentes osteogénicos,
ropinirol,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
ropivacaína,B1,,Medicamentos utilizados en anestesia,Anestésicos locales,
rosiglitazona,B3,,Sistema endocrino,agentes hipoglucemiantes,
rosiglitazona/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
rosuvastatina,D,"La hiperlipidemia fisiológica del embarazo no requiere tratamiento. El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada.",Sistema cardiovascular,Agentes hipolipidémicos,
rosuvastatina/ezetimiba,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,
vacuna contra el rotavirus,B2,"Las vacunas de virus vivos disponibles actualmente no han causado efectos teratogénicos en humanos. Para obtener información más completa, consulte la publicación de ATAGI, «The Australian Immunisation Handbook».",Vacunas,Vacunas vivas atenuadas,
rotigotina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
roxitromicina,B1,,Antimicrobianos,Antibióticos,antibióticos macrólidos
rufinamida,B3,,Sistema nervioso central,Anticonvulsivos/antiepilépticos,
rurioctocog alfa pegol,B2,,Sistema cardiovascular,Agentes hemostáticos,
fosfato de ruxolitinib,do,,Agentes antineoplásicos,,
sacituzumab govitecán,D,"Basándose en su mecanismo de acción, sacituzumab govitecan puede causar teratogenicidad y/o letalidad embriofetal cuando se administra a una persona embarazada.",Agentes antineoplásicos,anticuerpos monoclonales,
safinamida (como mesilato),B3,,,,
salbutamol,A,,Sistema cardiovascular,estimulantes adrenérgicos,
salbutamol,A,,Sistema genitourinario,Agentes que actúan sobre el útero,
salbutamol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
salcatonina (salmón con calcitonina),B2,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
salmeterol,B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
salmeterol,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas
samario [153Sm],D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
saponinas,A,,Sistema respiratorio,Expectorantes y mucolíticos,
sapropterina,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
saquinavir,B1,,Antimicrobianos,agentes antivirales,
satralizumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Sistema nervioso central,,
saxagliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,
saxagliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
sebelipasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
secukinumab (rch),do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,
selegilina,B2,,Sistema nervioso central,Agentes antiparkinsonianos,
selexipag,B1,,Sistema cardiovascular,Antihipertensivos,
selinexor,D," Selinexor puede causar daño fetal si se administra a una mujer embarazada. En ratas preñadas, la administración de selinexor durante la organogénesis resultó en una reducción del peso fetal, alteración de la osificación y un aumento de las variaciones y malformaciones esqueléticas fetales. Selinexor fue embrioletal en ratas.",Agentes antineoplásicos,,
selpercatinib,D,"Según datos de estudios de reproducción en animales y su mecanismo de acción, selpercatinib puede causar daño fetal (incluida pérdida postimplantación y un aumento de malformaciones externas) cuando se administra a una mujer embarazada.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
selumetinib,D,"Según datos en animales (en ratones preñados, el selumetinib administrado durante la organogénesis provocó una reducción del número de fetos vivos debido a un aumento de la pérdida posimplantación, una reducción del peso fetal y malformaciones). El selumetinib puede causar daño fetal si se administra a una mujer embarazada.",Agentes antineoplásicos,,
semaglutida,D,Este medicamento es embriotóxico y fetotóxico cuando se administra a ratas y conejas preñadas.,Sistema endocrino,agentes hipoglucemiantes,
sen,A,,Sistema alimentario,Laxantes,
sertindol,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,
sertralina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS)
sevelámero,B3,," Agentes desintoxicantes, antídotos",,
sevoflurano,B2,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
sibutramina,do,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,
citrato de sildenafil,B1,,Sistema cardiovascular,Vasodilatadores,
silodosina,B3,,Sistema genitourinario,Hiperplasia de próstata,
siltuximab,do,"Medicamentos que, debido a sus efectos farmacológicos, han causado o se sospecha que causan efectos nocivos en el feto o neonato humano sin causar malformaciones. Estos efectos pueden ser reversibles. Para más información, consulte los textos adjuntos.",Agentes antineoplásicos,anticuerpos monoclonales,
simeprevir,B3,,Antimicrobianos,agentes antivirales,
simeprevir con ribavirina y peginterferón alfa,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
simvastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,
siponimod,D,"Basándose en datos obtenidos en animales y su mecanismo de acción, el siponimod puede causar daño fetal cuando se administra a una mujer embarazada.",Alergia y sistema inmunológico,Inmunomodificadores,
sirolimús,do,,Alergia y sistema inmunológico,Inmunomodificadores,
sitagliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,
sitagliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
sitaxentan,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,
vacuna contra la viruela (Vaccinia),D,Las vacunas con virus vaccinia vivos pueden causar daño fetal cuando se administran a una mujer embarazada,Vacunas,Vacunas vivas atenuadas,
aurotiomalato de sodio,B2,,Sistema musculoesquelético,agentes antirreumatoides,
cromoglicato de sodio,A,,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas
fusidato de sodio (ácido fusídico),do,"Este medicamento puede causar kernícterus en bebés durante el primer mes de vida al desplazar la bilirrubina de la albúmina plasmática. Se debe evitar el ácido fusídico, si es posible, durante el último mes de embarazo.",Antimicrobianos,Antibióticos,
nitroprusiato de sodio,do,El uso a corto plazo para el control de crisis hipertensivas puede ser seguro siempre que se controlen el pH y las concentraciones de cianuro en la sangre materna.,Sistema cardiovascular,Antihipertensivos,
fenilbutirato de sodio,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
 fosfato de sodio [32P],incógnita,El uso de este medicamento está absolutamente contraindicado en mujeres embarazadas o en período de lactancia y en niños.,Agentes de diagnóstico,,
salicilato de sodio,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
valproato de sodio (ácido valproico),D,"El valproato de sodio está contraindicado durante el embarazo. Una amplia gama de malformaciones congénitas puede ocurrir en bebés nacidos de mujeres que toman valproato de sodio durante el embarazo, y el riesgo de malformaciones aumenta con el aumento de la dosis de valproato. Si se toma en el primer trimestre del embarazo, el valproato de sodio (ácido valproico) se asocia con un riesgo del 1 al 2 por ciento de defectos del tubo neural (especialmente espina bífida) en el feto expuesto. El valproato de sodio no debe usarse durante el embarazo ni en mujeres en edad fértil, a menos que los tratamientos alternativos sean ineficaces o no se toleren debido al alto riesgo de malformación y al riesgo de trastornos del desarrollo en bebés expuestos al valproato antes del nacimiento. Evite el uso de valproato en mujeres en edad fértil para todas las indicaciones no convulsivas. Para indicaciones convulsivas, considere alternativas si existen. Siempre use la dosis efectiva más baja. Pacientes y médicos deben reconsiderar los beneficios y riesgos en las revisiones periódicas del tratamiento, en la pubertad y urgentemente cuando una mujer en edad fértil tratada con valproato planea un embarazo o queda embarazada. La suplementación con ácido fólico (5 mg) debe iniciarse cuatro semanas antes y continuarse durante doce semanas después de la concepción; se debe ofrecer un diagnóstico prenatal especializado, que incluya una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
ciclosilicato de sodio y circonio,B1,,Metabolismo,,
sofosbuvir,B1,,Antimicrobianos,agentes antivirales,
sofosbuvir/velpatasvir/voxilaprevir,B1,,Antimicrobianos,agentes antivirales,
sofosbuvir/velpatasvir,B1,,Antimicrobianos,agentes antivirales,
sofosbuvir/velpatasvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
sofosbuvir con peginterferón alfa y ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
sofosbuvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
solifenacina,B3,,Sistema genitourinario,Hiperplasia de próstata,
somapacitán,B1,,Sistema endocrino,Agentes hormonales,
somatrogon,B1,,Sistema endocrino,Agentes hormonales,
somatropina,B2,,Sistema endocrino,hormonas pituitarias,
sorafenib,D, Este fármaco es embriotóxico tanto en ratas como en conejas preñadas y teratogénico cuando se administra a animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
sotalol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
sotorasib,B3,,Agentes antineoplásicos,,
sotrovimab,B2,,Antimicrobianos,agentes antivirales,anticuerpos monoclonales antivirales
espectinomicina,B1,,Antimicrobianos,Antibióticos,
espesolimab,B1,,Medicamentos utilizados en dermatología,Sistémico,
espironolactona,B3,Este medicamento tiene el potencial de causar la feminización del feto masculino y debe evitarse durante el embarazo.,Sistema cardiovascular,Diuréticos,diuréticos ahorradores de potasio
espironolactona,B3,Los antiandrógenos tienen el potencial de provocar la feminización del feto masculino a las 8 semanas o más de la concepción y deben evitarse durante el embarazo.,Sistema endocrino,Antiandrógenos,
estavudina,B3,,Antimicrobianos,agentes antivirales,
estiripentol,B3,,Sistema nervioso central,,
estreptoquinasa,do, Solo cantidades mínimas de estreptoquinasa atraviesan la placenta. Se encuentran anticuerpos específicos contra la estreptoquinasa en la sangre fetal.,Sistema cardiovascular,agentes fibrinolíticos,
ranelato de estroncio,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
 gelatina succinilada,B2,,Sistema cardiovascular,,
sucralfato,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
oxihidróxido sucroférrico,B3,,Sangre y sistema hematopoyético,Sistema hematopoyético,
sugammadex,B2,,Medicamentos utilizados en anestesia,Antagonistas de los agentes bloqueadores neuromusculares,
sulesomab,B2,,Agentes de diagnóstico,Agentes radiográficos,
sulfacetamida,do,,Medicamentos oftálmicos,,
sulfadiazina,do,Las sulfonamidas pueden causar ictericia y anemia hemolítica en el recién nacido.,Antimicrobianos,Antibióticos,Sulfonamidas
sulfadoxina,do,Las sulfonamidas pueden causar ictericia y anemia hemolítica en el recién nacido.,Antimicrobianos,Antibióticos,Sulfonamidas
sulfametizol,do,Las sulfonamidas pueden causar ictericia y anemia hemolítica en el recién nacido.,Antimicrobianos,Antibióticos,Sulfonamidas
 sulfametoxazol,do,Las sulfonamidas pueden causar ictericia y anemia hemolítica en el recién nacido.,Antimicrobianos,Antibióticos,Sulfonamidas
sulfasalazina,A,,Sistema alimentario,Antidiarreicos,
sulfinpirazona,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,
sulindaco,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
sultiame,D,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
sumatriptán,B3,,Sistema cardiovascular,Preparaciones antimigrañosas,
sunitinib,D, Este fármaco es embriotóxico tanto en ratas como en conejas preñadas y teratogénico cuando se administra a animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
susoctocog alfa,B2,,Sistema cardiovascular,Agentes hemostáticos,
suxametonio,A,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,
tacrina,do,Este medicamento puede producir efectos colinérgicos en el feto.,Agentes colinérgicos y anticolinérgicos,,
tacrolimús,do,Este medicamento puede causar inmunosupresión en el lactante. El uso de tacrolimus durante el embarazo se ha asociado con hiperpotasemia neonatal y disfunción renal.,Alergia y sistema inmunológico,Inmunomodificadores,
tadalafil,B1,,Sistema cardiovascular,Vasodilatadores,
tafamidis,D,"Según los resultados de estudios realizados en animales, tafamidis puede provocar daños y malformaciones fetales.",Sistema cardiovascular,,
tafasitamab,do,El tafasitamab puede causar depleción de células B fetales basándose en sus propiedades farmacológicas.,Agentes antineoplásicos,anticuerpos monoclonales,
